UID,name,subregion,ecosection,CP,proportion_scaled,proportion_unscaled,value_scaled,value_unscaled,total_value,Gridded_UID,Desktop_UID,marxancode,section,speciesgroup,species,featuretype,featuretype for SS,attributetype,datatype,featurename for SS analysis,final_target_low,final_target_med,final_target_high,Issue,Tracked,species name,postremoval
pro_ktisgaidzmacdonaldbayconservancy,Ktisgaidz/Macdonald Bay Conservancy,NC,North Coast Fjords,eco_coarse_coastalclasses_linesrockcliff_d,0.000108214,0.000108214,669.6260688,669.6260688,6187975.355,eco_coarse_coastalclasses_lines_d_rockcliff,eco_coarse_coastalclasses_linesrockcliff_d,3090700,eco,coarse,coastalclasses,lines,Coastal Classes,rockcliff,d,Rock Cliff,0.008644,0.017288,0.025932,,,Coastal Classes,no
pro_ktisgaidzmacdonaldbayconservancy,Ktisgaidz/Macdonald Bay Conservancy,NC,North Coast Fjords,eco_mammals_killerwhaletransient_hsi_d,1.86E-05,2.19E-05,547370.4726,643965.2619,29407930625,eco_mammals_killerwhaletransient_hsi_d,eco_mammals_killerwhaletransient_hsi_d,8090100,eco,mammals,killerwhaletransient,hsi,Habitat of Special Importance,,d,Killer Whale - Transients^,0,0,0,,^,Orca NE Pacific Transients,no
pro_ktisgaidzmacdonaldbayconservancy,Ktisgaidz/Macdonald Bay Conservancy,NC,North Coast Fjords,eco_inverts_dungeness_records_d,0,3.32E-05,0,206749.6565,6221696257,eco_inverts_dungeness_records_d,eco_inverts_dungeness_records_d,7240200,eco,inverts,dungeness,records,records,,d,Dungeness crab ,0.1,0.15,0.2,,,Dungeness crab ,no
pro_ktisgaidzmacdonaldbayconservancy,Ktisgaidz/Macdonald Bay Conservancy,NC,North Coast Fjords,eco_birds_loongrebe_density_d,9.41E-06,1.11E-05,0.161215953,0.189665827,17130.04888,eco_birds_loongrebe_density_d,eco_birds_loongrebe_density_d,5290100,eco,birds,loongrebe,density,density - yr round,,d,Loon/Grebe,0.1,0.15,0.2,,,Loon/Grebe,no
pro_ktisgaidzmacdonaldbayconservancy,Ktisgaidz/Macdonald Bay Conservancy,NC,North Coast Fjords,eco_birds_gull_density_m,1.34E-05,1.57E-05,0.076488519,0.089986493,5719.247376,eco_birds_gull_density_m,eco_birds_gull_density_m,5260100,eco,birds,gull,density,density - yr round,,m,Gulls,0.1,0.15,0.2,,,Gulls,no
pro_ktisgaidzmacdonaldbayconservancy,Ktisgaidz/Macdonald Bay Conservancy,NC,North Coast Fjords,eco_plants_surfgrass_biobands_d,0.000252961,0.000252961,865.712716,865.712716,3422313.4,eco_plants_surfgrass_biobands_d,eco_plants_surfgrass_biobands_d,4050100,eco,plants,surfgrass,biobands,Biobands,,d,Surfgrass,0.2,0.3,0.4,,,Surfgrass,no
pro_ktisgaidzmacdonaldbayconservancy,Ktisgaidz/Macdonald Bay Conservancy,NC,North Coast Fjords,eco_birds_mamu_density_d,4.56E-06,5.36E-06,0.071418924,0.084022264,15668.29045,eco_birds_mamu_density_d,eco_birds_mamu_density_d,5310100,eco,birds,mamu,density,density - yr round,,d,Marbled Murrelet,0.1,0.15,0.2,,,Marbled Murrelet,no
pro_ktisgaidzmacdonaldbayconservancy,Ktisgaidz/Macdonald Bay Conservancy,NC,North Coast Fjords,eco_mammals_killerwhaleresident_ia_d,2.22E-05,2.62E-05,514609.959,605423.4811,23141217907,eco_mammals_killerwhaleresident_ia_d,eco_mammals_killerwhaleresident_ia_d,8060400,eco,mammals,killerwhaleresident,ia,Important Areas,,d,Killer Whale - Northern Residents^,0,0,0,,^,Orca NE Pacific Northern Residents,no
pro_ktisgaidzmacdonaldbayconservancy,Ktisgaidz/Macdonald Bay Conservancy,NC,North Coast Fjords,eco_coarse_ecosections_polygonsncf_d,6.90E-05,6.90E-05,643965.2619,643965.2619,9336663490,eco_coarse_ecosections_polygons_d_ncf,eco_coarse_ecosections_polygonsncf_d,3060500,eco,coarse,ecosections,polygons,Ecosections,ncf,d,North Coast Fjords,0.031586,0.063172,0.094758,,,Ecosections,no
pro_ktisgaidzmacdonaldbayconservancy,Ktisgaidz/Macdonald Bay Conservancy,NC,North Coast Fjords,eco_coarse_oceanreg_polygonsmainlandfjords_d,6.81E-05,6.81E-05,643905.4381,643905.4381,9458573811,eco_coarse_oceanreg_polygons_d_mainlandfjords,eco_coarse_oceanreg_polygonsmainlandfjords_d,3080200,eco,coarse,oceanreg,polygons,Upper Ocean Subregion,mainlandfjords,d,Mainland Fjords,0.045899,0.091798,0.137697,,,ocean reg,no
pro_ktisgaidzmacdonaldbayconservancy,Ktisgaidz/Macdonald Bay Conservancy,NC,North Coast Fjords,eco_coarse_coastalclasses_linesrockramp_d,0.0003218,0.0003218,3331.361824,3331.361824,10352267.51,eco_coarse_coastalclasses_lines_d_rockramp,eco_coarse_coastalclasses_linesrockramp_d,3090900,eco,coarse,coastalclasses,lines,Coastal Classes,rockramp,d,Rock Ramp,0.006569,0.013138,0.019707,,,Coastal Classes,no
pro_ktisgaidzmacdonaldbayconservancy,Ktisgaidz/Macdonald Bay Conservancy,NC,North Coast Fjords,eco_inverts_prawn_records_d,0,2.81E-05,0,357714.6762,12727061153,eco_inverts_prawn_records_d,eco_inverts_prawn_records_d,7350100,eco,inverts,prawn,records,records,,d,Spot prawn^,0,0,0,,^,Prawn,no
pro_ktisgaidzmacdonaldbayconservancy,Ktisgaidz/Macdonald Bay Conservancy,NC,North Coast Fjords,eco_mammals_finwhale_hsi_d,0,1.82E-05,0,628875.7377,34511805186,eco_mammals_finwhale_hsi_d,eco_mammals_finwhale_hsi_d,8180300,eco,mammals,finwhale,hsi,Habitat of Special Importance,,d,Fin Whale^,0,0,0,,^,Fin whale,no
pro_ktisgaidzmacdonaldbayconservancy,Ktisgaidz/Macdonald Bay Conservancy,NC,North Coast Fjords,eco_mammals_humpbackwhale_density_d,9.40E-05,0.00011061,15.11349806,17.78058596,160750.5051,eco_mammals_humpbackwhale_density_d,eco_mammals_humpbackwhale_density_d,8200100,eco,mammals,humpbackwhale,density,density,,d,Humpback Whale,0.1,0.15,0.2,,,Humpback Whale,no
pro_ktisgaidzmacdonaldbayconservancy,Ktisgaidz/Macdonald Bay Conservancy,NC,North Coast Fjords,eco_inverts_octopusgiantpacific_records_d,1.48E-05,1.74E-05,125175.6951,147265.5237,8481116738,eco_inverts_octopusgiantpacific_records_d,eco_inverts_octopusgiantpacific_records_d,7140100,eco,inverts,octopusgiantpacific,records,records,,d,Giant Pacific octopus,0.2,0.3,0.4,,,Giant pacific octopus,no
pro_ktisgaidzmacdonaldbayconservancy,Ktisgaidz/Macdonald Bay Conservancy,NC,North Coast Fjords,eco_areas_highrugosity_polygons_d,2.62E-05,2.62E-05,556562.7917,556562.7917,21277886447,eco_areas_highrugosity_polygons_d,eco_areas_highrugosity_polygons_d,3010100,eco,areas,highrugosity,polygons,polygons,,d,High Rugosity,0.2,0.4,0.6,,,High Rugosity,no
pro_ktisgaidzmacdonaldbayconservancy,Ktisgaidz/Macdonald Bay Conservancy,NC,North Coast Fjords,eco_coarse_bottompatches_polygonssoft_d,1.56E-05,1.83E-05,129218.5851,152021.8649,8291133196,eco_coarse_bottompatches_polygons_d_soft,eco_coarse_bottompatches_polygonssoft_d,3050300,eco,coarse,bottompatches,polygons,Bottom Patches,soft,d,Soft substrate,0.073,0.146,0.219,,,Bottom Patches,no
pro_ktisgaidzmacdonaldbayconservancy,Ktisgaidz/Macdonald Bay Conservancy,NC,North Coast Fjords,eco_coarse_bottompatches_polygonshard_d,3.41E-05,4.01E-05,145262.3619,170896.8963,4264947048,eco_coarse_bottompatches_polygons_d_hard,eco_coarse_bottompatches_polygonshard_d,3050100,eco,coarse,bottompatches,polygons,Bottom Patches,hard,d,Hard substrate,0.1,0.2,0.3,,,Bottom Patches,no
pro_ktisgaidzmacdonaldbayconservancy,Ktisgaidz/Macdonald Bay Conservancy,NC,North Coast Fjords,eco_plants_bullkelp_biobands_d,6.87E-05,6.87E-05,530.6076803,530.6076803,7718691.344,eco_plants_bullkelp_biobands_d,eco_plants_bullkelp_biobands_d,4020200,eco,plants,bullkelp,biobands,Biobands,,d,Bull Kelp,0.2,0.3,0.4,,,Bull Kelp,no
pro_ktisgaidzmacdonaldbayconservancy,Ktisgaidz/Macdonald Bay Conservancy,NC,North Coast Fjords,eco_coarse_ecosections_polygons_d,1.06E-06,1.06E-06,643965.2619,643965.2619,6.10E+11,eco_coarse_ecosections_polygons_d,eco_coarse_ecosections_polygons_d,3060100-3060800,eco,coarse,ecosections,polygons,polygons,,d,Ecosections,0,0,0,,^,Ecosections,yes
pro_ktisgaidzmacdonaldbayconservancy,Ktisgaidz/Macdonald Bay Conservancy,NC,North Coast Fjords,eco_coarse_coastalclasses_linesgravelbeach_d,0.000180281,0.000180281,193.4260076,193.4260076,1072915.935,eco_coarse_coastalclasses_lines_d_gravelbeach,eco_coarse_coastalclasses_linesgravelbeach_d,3090300,eco,coarse,coastalclasses,lines,Coastal Classes,gravelbeach,d,Gravel Beach,0.020698,0.041396,0.062094,,,Coastal Classes,no
pro_ktisgaidzmacdonaldbayconservancy,Ktisgaidz/Macdonald Bay Conservancy,NC,North Coast Fjords,eco_coarse_bottompatches_polygonsmixed_d,2.11E-05,2.11E-05,130397.148,130397.148,6185067402,eco_coarse_bottompatches_polygons_d_mixed,eco_coarse_bottompatches_polygonsmixed_d,3050200,eco,coarse,bottompatches,polygons,Bottom Patches,mixed,d,Mixed substrate,0.081,0.162,0.243,,,Bottom Patches,no
pro_ktisgaidzmacdonaldbayconservancy,Ktisgaidz/Macdonald Bay Conservancy,NC,North Coast Fjords,eco_mammals_finwhale_ia_d,0,1.56E-05,0,605429.3064,38901466404,eco_mammals_finwhale_ia_d,eco_mammals_finwhale_ia_d,8180200,eco,mammals,finwhale,ia,Important Areas,,d,Fin Whale^,0,0,0,,^,Fin whale,no
pro_ktisgaidzmacdonaldbayconservancy,Ktisgaidz/Macdonald Bay Conservancy,NC,North Coast Fjords,eco_mammals_humpbackwhale_ch_d,8.90E-05,0.000104652,534542.5525,628873.5912,6009215221,eco_mammals_humpbackwhale_ch_d,eco_mammals_humpbackwhale_ch_d,8200200,eco,mammals,humpbackwhale,ch,Critical Habitat,,d,Humpback Whale,0.2,0.3,0.4,,,Humpback Whale,no
pro_ktisgaidzmacdonaldbayconservancy,Ktisgaidz/Macdonald Bay Conservancy,NC,North Coast Fjords,eco_coarse_geomorphicunits_polygonsfjordcrest_d,0.000171392,0.000171392,209579.9266,209579.9266,1222813470,eco_coarse_geomorphicunits_polygons_d_fjordcrest,eco_coarse_geomorphicunits_polygonsfjordcrest_d,3030100,eco,coarse,geomorphicunits,polygons,Geomorphic Units,fjordcrest,d,Fjord crest,0.098363,0.196726,0.295089,,,Geomorphic Units,no
pro_ktisgaidzmacdonaldbayconservancy,Ktisgaidz/Macdonald Bay Conservancy,NC,North Coast Fjords,eco_mammals_killerwhaleresident_potentialch_d,9.04E-05,0.000106354,512154.6638,602534.8985,5665379398,eco_mammals_killerwhaleresident_potentialch_d,eco_mammals_killerwhaleresident_potentialch_d,8060200,eco,mammals,killerwhaleresident,potentialch,Potential Critical Habitat,,d,Killer Whale - Northern Residents,0.4,0.5,0.6,,,Orca NE Pacific Northern Residents,no
pro_ktisgaidzmacdonaldbayconservancy,Ktisgaidz/Macdonald Bay Conservancy,NC,North Coast Fjords,eco_coarse_coastalclasses_linessandgravelflatfan_d,0.001272285,0.001272285,2114.507726,2114.507726,1661977.106,eco_coarse_coastalclasses_lines_d_sandgravelflatfan,eco_coarse_coastalclasses_linessandgravelflatfan_d,3091100,eco,coarse,coastalclasses,lines,Coastal Classes,sandgravelflatfan,d,Sand and Gravel Flat or Fan,0.015976,0.031952,0.047928,,,Coastal Classes,no
pro_ktisgaidzmacdonaldbayconservancy,Ktisgaidz/Macdonald Bay Conservancy,NC,North Coast Fjords,eco_coarse_coastalclasses_lineschannel_d,0.046095089,0.046095089,1916.503421,1916.503421,41577.1713,eco_coarse_coastalclasses_lines_d_channel,eco_coarse_coastalclasses_lineschannel_d,3090100,eco,coarse,coastalclasses,lines,Coastal Classes,channel,d,Channel,0.1,0.2,0.3,,,Coastal Classes,no
pro_godspocketmarinepark,God's Pocket Marine Park,NVI,Queen Charlotte Strait,eco_coarse_ebsas_polygonsnorthislandstraits_d,0.004708425,0.004708425,14848135.65,14848135.65,3153524613,eco_coarse_ebsas_polygons_d_northislandstraits,eco_coarse_ebsas_polygonsnorthislandstraits_d,3101100,eco,coarse,ebsas,polygons,EBSAS,northislandstraits,d,North Island Straits,0.027072,0.054143,0.081215,,,EBSAS,no
pro_godspocketmarinepark,God's Pocket Marine Park,NVI,Queen Charlotte Strait,eco_mammals_harbourporpoise_density_d,0,0.004242628,0,63.09660236,14872.05593,eco_mammals_harbourporpoise_density_d,eco_mammals_harbourporpoise_density_d,8020100,eco,mammals,harbourporpoise,density,density,,d,Harbour Porpoise^,0,0,0,,^,Harbour porpoise,no
pro_godspocketmarinepark,God's Pocket Marine Park,NVI,Queen Charlotte Strait,eco_inverts_geoduck_records_d,0,0.004679064,0,8489417.913,1814341118,eco_inverts_geoduck_records_d,eco_inverts_geoduck_records_d,7360100,eco,inverts,geoduck,records,records,,d,Geoduck,0.2,0.3,0.4,,,Geoduck,no
pro_godspocketmarinepark,God's Pocket Marine Park,NVI,Queen Charlotte Strait,eco_coarse_coastalclasses_linesrockcliff_d,0.001178141,0.001178141,7290.307014,7290.307014,6187975.355,eco_coarse_coastalclasses_lines_d_rockcliff,eco_coarse_coastalclasses_linesrockcliff_d,3090700,eco,coarse,coastalclasses,lines,Coastal Classes,rockcliff,d,Rock Cliff,0.008644,0.017288,0.025932,,,Coastal Classes,no
pro_godspocketmarinepark,God's Pocket Marine Park,NVI,Queen Charlotte Strait,eco_areas_richness_nearshorehabitat_d,0.005462606,0.005462606,6976323.501,6976323.501,1277105371,eco_areas_richness_nearshorehabitat_d,eco_areas_richness_nearshorehabitat_d,3020300,eco,areas,richness,nearshorehabitat,nearshore,,d,Habitat Richness,0.1,0.2,0.3,,,Richness,no
pro_godspocketmarinepark,God's Pocket Marine Park,NVI,Queen Charlotte Strait,eco_mammals_killerwhaletransient_hsi_d,0.000429834,0.000505687,12640522.73,14871203.21,29407930625,eco_mammals_killerwhaletransient_hsi_d,eco_mammals_killerwhaletransient_hsi_d,8090100,eco,mammals,killerwhaletransient,hsi,Habitat of Special Importance,,d,Killer Whale - Transients^,0,0,0,,^,Orca NE Pacific Transients,no
pro_godspocketmarinepark,God's Pocket Marine Park,NVI,Queen Charlotte Strait,eco_fish_skatelongnose_phmasyn_m,0,2.58E-06,0,1.073611538,416551,eco_fish_skatelongnose_phmasyn_m,eco_fish_skatelongnose_phmasyn_m,6330100,eco,fish,skatelongnose,phmasyn,Research CPUE,,m,Longnose Skate,0.2,0.3,0.4,,,Longnose skate,no
pro_godspocketmarinepark,God's Pocket Marine Park,NVI,Queen Charlotte Strait,eco_birds_cormorant_density_m,0,0.004186854,0,28.22776998,6742.000519,eco_birds_cormorant_density_m,eco_birds_cormorant_density_m,5300100,eco,birds,cormorant,density,density - yr round,,m,Double-crested cormorant,0.1,0.15,0.2,,,Double-crested cormorant,no
pro_godspocketmarinepark,God's Pocket Marine Park,NVI,Queen Charlotte Strait,eco_inverts_clamhorse_records_d,0.003933668,0.006556113,3349140.036,5581900.06,851403844.6,eco_inverts_clamhorse_records_d,eco_inverts_clamhorse_records_d,7470100,eco,inverts,clamhorse,records,records,,d,Horse clam,0.2,0.3,0.4,,,Horse clam,no
pro_godspocketmarinepark,God's Pocket Marine Park,NVI,Queen Charlotte Strait,eco_birds_loongrebe_density_d,1.45E-05,2.41E-05,0.248214231,0.413690384,17130.04888,eco_birds_loongrebe_density_d,eco_birds_loongrebe_density_d,5290100,eco,birds,loongrebe,density,density - yr round,,d,Loon/Grebe,0.1,0.15,0.2,,,Loon/Grebe,no
pro_godspocketmarinepark,God's Pocket Marine Park,NVI,Queen Charlotte Strait,eco_birds_gull_density_m,0.000677136,0.000796631,3.872709893,4.556129286,5719.247376,eco_birds_gull_density_m,eco_birds_gull_density_m,5260100,eco,birds,gull,density,density - yr round,,m,Gulls,0.1,0.15,0.2,,,Gulls,no
pro_godspocketmarinepark,God's Pocket Marine Park,NVI,Queen Charlotte Strait,eco_birds_blackoystercatcher_nestingsites_d,4.15E-06,4.88E-06,10976.33327,12913.33326,2643469009,eco_birds_blackoystercatcher_nestingsites_d,eco_birds_blackoystercatcher_nestingsites_d,5140200,eco,birds,blackoystercatcher,nestingsites,nesting sites,,d,Black Oystercatcher,0.2,0.3,0.4,,,Black Oystercatcher,no
pro_godspocketmarinepark,God's Pocket Marine Park,NVI,Queen Charlotte Strait,eco_coarse_ecosections_polygonsqcst_d,0.006015856,0.006015856,14871203.21,14871203.21,2472001366,eco_coarse_ecosections_polygons_d_qcst,eco_coarse_ecosections_polygonsqcst_d,3060400,eco,coarse,ecosections,polygons,Ecosections,qcst,d,Queen Charlotte Strait,0.075645,0.15129,0.226935,,,Ecosections,no
pro_godspocketmarinepark,God's Pocket Marine Park,NVI,Queen Charlotte Strait,eco_plants_surfgrass_biobands_d,0.001653967,0.001653967,5660.394089,5660.394089,3422313.4,eco_plants_surfgrass_biobands_d,eco_plants_surfgrass_biobands_d,4050100,eco,plants,surfgrass,biobands,Biobands,,d,Surfgrass,0.2,0.3,0.4,,,Surfgrass,no
pro_godspocketmarinepark,God's Pocket Marine Park,NVI,Queen Charlotte Strait,eco_inverts_urchingreen_records_d,0,0.003248007,0,4963625.126,1528206507,eco_inverts_urchingreen_records_d,eco_inverts_urchingreen_records_d,7460100,eco,inverts,urchingreen,records,records,,d,Green sea urchin,0.2,0.3,0.4,,,Green Urchin,no
pro_godspocketmarinepark,God's Pocket Marine Park,NVI,Queen Charlotte Strait,eco_birds_cormorant_densitywinter_m,0,0.004337429,0,9.428726828,2173.805372,eco_birds_cormorant_densitywinter_m,eco_birds_cormorant_densitywinter_m,5300200,eco,birds,cormorant,densitywinter,density in winter,,m,Unspecified Cormorant  ,0.1,0.15,0.2,,,Unspecified Cormorant  ,no
pro_godspocketmarinepark,God's Pocket Marine Park,NVI,Queen Charlotte Strait,eco_plants_giantkelp_biobands_d,3.74E-05,3.74E-05,112.1804863,112.1804863,2999527.294,eco_plants_giantkelp_biobands_d,eco_plants_giantkelp_biobands_d,4030200,eco,plants,giantkelp,biobands,Biobands,,d,Giant Kelp,0.2,0.3,0.4,,,Giant Kelp,no
pro_godspocketmarinepark,God's Pocket Marine Park,NVI,Queen Charlotte Strait,eco_mammals_killerwhaleresident_ia_d,0.000546234,0.000642628,12640522.73,14871203.21,23141217907,eco_mammals_killerwhaleresident_ia_d,eco_mammals_killerwhaleresident_ia_d,8060400,eco,mammals,killerwhaleresident,ia,Important Areas,,d,Killer Whale - Northern Residents^,0,0,0,,^,Orca NE Pacific Northern Residents,no
pro_godspocketmarinepark,God's Pocket Marine Park,NVI,Queen Charlotte Strait,eco_inverts_scleractinia_model_d,4.02E-05,6.70E-05,1.087154099,1.811923498,27039.09662,eco_inverts_scleractinia_model_d,eco_inverts_scleractinia_model_d,7430100,eco,inverts,scleractinia,model,predicted habitat,,d,Hard or stony corals,0.2,0.3,0.4,,,Hand or stony corals,no
pro_godspocketmarinepark,God's Pocket Marine Park,NVI,Queen Charlotte Strait,eco_mammals_dallsporpoise_density_d,0.000573584,0.000674805,43.97681078,51.73742445,76670.21249,eco_mammals_dallsporpoise_density_d,eco_mammals_dallsporpoise_density_d,8010100,eco,mammals,dallsporpoise,density,density,,d,Dall's Porpoise,0.1,0.15,0.2,,,Dall's Porpoise,no
pro_godspocketmarinepark,God's Pocket Marine Park,NVI,Queen Charlotte Strait,eco_coarse_coastalclasses_linesrockramp_d,0.001103714,0.001103714,11425.94103,11425.94103,10352267.51,eco_coarse_coastalclasses_lines_d_rockramp,eco_coarse_coastalclasses_linesrockramp_d,3090900,eco,coarse,coastalclasses,lines,Coastal Classes,rockramp,d,Rock Ramp,0.006569,0.013138,0.019707,,,Coastal Classes,no
pro_godspocketmarinepark,God's Pocket Marine Park,NVI,Queen Charlotte Strait,eco_inverts_prawn_records_d,0,0.000406023,0,5167481.818,12727061153,eco_inverts_prawn_records_d,eco_inverts_prawn_records_d,7350100,eco,inverts,prawn,records,records,,d,Spot prawn^,0,0,0,,^,Prawn,no
pro_godspocketmarinepark,God's Pocket Marine Park,NVI,Queen Charlotte Strait,eco_mammals_humpbackwhale_density_d,0,6.63E-05,0,10.65193094,160750.5051,eco_mammals_humpbackwhale_density_d,eco_mammals_humpbackwhale_density_d,8200100,eco,mammals,humpbackwhale,density,density,,d,Humpback Whale,0.1,0.15,0.2,,,Humpback Whale,no
pro_godspocketmarinepark,God's Pocket Marine Park,NVI,Queen Charlotte Strait,eco_mammals_pacificwhitesideddolphin_density_d,0.001565757,0.001842067,92.89663171,109.290155,59330.1707,eco_mammals_pacificwhitesideddolphin_density_d,eco_mammals_pacificwhitesideddolphin_density_d,8040100,eco,mammals,pacificwhitesideddolphin,density,density,,d,Pacific White-sided Dolphin,0.1,0.15,0.2,,,Pacific white-sided dolphin,no
pro_godspocketmarinepark,God's Pocket Marine Park,NVI,Queen Charlotte Strait,eco_coarse_oceanreg_polygonsjohnstonestrait_d,0.00579968,0.00579968,14870877.88,14870877.88,2564085808,eco_coarse_oceanreg_polygons_d_johnstonestrait,eco_coarse_oceanreg_polygonsjohnstonestrait_d,3080600,eco,coarse,oceanreg,polygons,Upper Ocean Subregion,johnstonestrait,d,Johnstone Strait,0.088172,0.176344,0.264516,,,ocean reg,no
pro_godspocketmarinepark,God's Pocket Marine Park,NVI,Queen Charlotte Strait,eco_inverts_octopusgiantpacific_records_d,0.000107632,0.000179387,912843.0496,1521405.083,8481116738,eco_inverts_octopusgiantpacific_records_d,eco_inverts_octopusgiantpacific_records_d,7140100,eco,inverts,octopusgiantpacific,records,records,,d,Giant Pacific octopus,0.2,0.3,0.4,,,Giant pacific octopus,no
pro_godspocketmarinepark,God's Pocket Marine Park,NVI,Queen Charlotte Strait,eco_areas_highrugosity_polygons_d,0.000299378,0.000299378,6370136.242,6370136.242,21277886447,eco_areas_highrugosity_polygons_d,eco_areas_highrugosity_polygons_d,3010100,eco,areas,highrugosity,polygons,polygons,,d,High Rugosity,0.2,0.4,0.6,,,High Rugosity,no
pro_godspocketmarinepark,God's Pocket Marine Park,NVI,Queen Charlotte Strait,eco_plants_chlorophylla_bloom_d,2.70E-05,2.70E-05,22.77028162,22.77028162,843583,eco_plants_chlorophylla_bloom_d,eco_plants_chlorophylla_bloom_d,4010200,eco,plants,chlorophylla,bloom,Chlorophyll A Blooms,,d,Phytoplankton^,0,0,0,1,^,Phytoplankton,no
pro_godspocketmarinepark,God's Pocket Marine Park,NVI,Queen Charlotte Strait,eco_fish_pacificcod_phmasyn_m,0,2.62E-06,0,1.073611538,409647,eco_fish_pacificcod_phmasyn_m,eco_fish_pacificcod_phmasyn_m,6080100,eco,fish,pacificcod,phmasyn,Research CPUE,,m,Pacific Cod ,0.1,0.15,0.2,,,Pacific Cod ,no
pro_godspocketmarinepark,God's Pocket Marine Park,NVI,Queen Charlotte Strait,eco_coarse_bottompatches_polygonssoft_d,0.000265828,0.000312739,2204014.658,2592958.421,8291133196,eco_coarse_bottompatches_polygons_d_soft,eco_coarse_bottompatches_polygonssoft_d,3050300,eco,coarse,bottompatches,polygons,Bottom Patches,soft,d,Soft substrate,0.073,0.146,0.219,,,Bottom Patches,no
pro_godspocketmarinepark,God's Pocket Marine Park,NVI,Queen Charlotte Strait,eco_coarse_bottompatches_polygonshard_d,0.000974864,0.001146899,4157744.782,4891464.45,4264947048,eco_coarse_bottompatches_polygons_d_hard,eco_coarse_bottompatches_polygonshard_d,3050100,eco,coarse,bottompatches,polygons,Bottom Patches,hard,d,Hard substrate,0.1,0.2,0.3,,,Bottom Patches,no
pro_godspocketmarinepark,God's Pocket Marine Park,NVI,Queen Charlotte Strait,eco_fish_halibut_phmasynsab_m,0,2.39E-06,0,1.073611538,448376,eco_fish_halibut_phmasynsab_m,eco_fish_halibut_phmasynsab_m,6050100,eco,fish,halibut,phmasynsab,Research CPUE,,m,Pacific Halibut ,0.1,0.15,0.2,,,Pacific Halibut ,no
pro_godspocketmarinepark,God's Pocket Marine Park,NVI,Queen Charlotte Strait,eco_birds_petrelphalarope_density_d,5.70E-05,5.70E-05,0.62692789,0.62692789,10991.68603,eco_birds_petrelphalarope_density_d,eco_birds_petrelphalarope_density_d,5220100,eco,birds,petrelphalarope,density,density - yr round,,d,Storm Petrel,0.1,0.15,0.2,,,Storm Petrel,no
pro_godspocketmarinepark,God's Pocket Marine Park,NVI,Queen Charlotte Strait,eco_plants_bullkelp_biobands_d,0.000899736,0.000899736,6944.7873,6944.7873,7718691.344,eco_plants_bullkelp_biobands_d,eco_plants_bullkelp_biobands_d,4020200,eco,plants,bullkelp,biobands,Biobands,,d,Bull Kelp,0.2,0.3,0.4,,,Bull Kelp,no
pro_godspocketmarinepark,God's Pocket Marine Park,NVI,Queen Charlotte Strait,eco_coarse_geomorphicunits_polygonsfjorddepressionfloor_d,0.000602986,0.000602986,727314.8419,727314.8419,1206188044,eco_coarse_geomorphicunits_polygons_d_fjorddepressionfloor,eco_coarse_geomorphicunits_polygonsfjorddepressionfloor_d,3030300,eco,coarse,geomorphicunits,polygons,Geomorphic Units,fjorddepressionfloor,d,Fjord depression floor,0.1,0.2,0.3,,,Geomorphic Units,no
pro_godspocketmarinepark,God's Pocket Marine Park,NVI,Queen Charlotte Strait,eco_inverts_pennatulacea_model_d,1.09E-06,1.82E-06,0.015521494,0.025869157,14217.02056,eco_inverts_pennatulacea_model_d,eco_inverts_pennatulacea_model_d,7380200,eco,inverts,pennatulacea,model,predicted habitat,,d,Sea pens,0.2,0.3,0.4,,,Sea pens,no
pro_godspocketmarinepark,God's Pocket Marine Park,NVI,Queen Charlotte Strait,eco_inverts_antipatharia_model_d,3.21E-08,5.34E-08,0.000255974,0.000426624,7983.246108,eco_inverts_antipatharia_model_d,eco_inverts_antipatharia_model_d,7020100,eco,inverts,antipatharia,model,predicted habitat,,d,Black corals,0.2,0.3,0.4,,,Black corals,no
pro_godspocketmarinepark,God's Pocket Marine Park,NVI,Queen Charlotte Strait,eco_plants_generalkelp_polygons_d,0.004388678,0.004388678,1315934.269,1315934.269,299847523.6,eco_plants_generalkelp_polygons_d,eco_plants_generalkelp_polygons_d,4060100,eco,plants,generalkelp,polygons,Distribution,,d,General Kelp,0.2,0.3,0.4,,,General Kelp,no
pro_godspocketmarinepark,God's Pocket Marine Park,NVI,Queen Charlotte Strait,eco_fish_rockfishyelloweye_phmasyn_m,0,3.19E-06,0,1.073611538,336050,eco_fish_rockfishyelloweye_phmasyn_m,eco_fish_rockfishyelloweye_phmasyn_m,6270100,eco,fish,rockfishyelloweye,phmasyn,Research CPUE,,m,Yelloweye Rockfish,0.4,0.5,0.6,,,Yelloweye rockfish,no
pro_godspocketmarinepark,God's Pocket Marine Park,NVI,Queen Charlotte Strait,eco_coarse_ecosections_polygons_d,2.44E-05,2.44E-05,14871203.21,14871203.21,6.10E+11,eco_coarse_ecosections_polygons_d,eco_coarse_ecosections_polygons_d,3060100-3060800,eco,coarse,ecosections,polygons,polygons,,d,Ecosections,0,0,0,,^,Ecosections,yes
